"","TP_COR_RACA","TP_ESCOLA","TP_SEXO","Q005","Q006","CO_PROVA_CN","CO_PROVA_CH","CO_PROVA_LC","CO_PROVA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","SG_UF_RESIDENCIA"
"1283",3,1,"F",4,"C",392,395,399,404,485.7,564.4,575.2,497.7,660,"PA"
"1284",1,1,"M",2,"C",393,395,399,406,610.5,616.6,578.6,656.4,620,"MG"
"1285",1,1,"M",3,"F",394,398,401,405,606.8,631.6,591.4,630.7,620,"RJ"
"1286",3,2,"F",4,"B",391,397,402,403,462.2,412.2,371,423.9,500,"RJ"
"1287",3,1,"F",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RJ"
"1288",2,1,"M",5,"E",391,396,400,403,589.2,590.9,525.2,643.8,440,"SP"
"1289",3,1,"M",3,"E",392,395,399,404,594.9,600.3,577.5,554.9,540,"PR"
"1290",1,1,"F",2,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"1291",3,1,"F",4,"D",391,396,400,403,520.6,464.8,446.6,448.8,0,"CE"
"1292",0,3,"M",3,"H",393,395,399,406,576.4,564.3,467.3,668.8,540,"AM"
"1293",3,1,"F",4,"C",392,397,402,404,398.1,452.9,511.8,420.6,620,"GO"
"1294",3,2,"F",3,"B",392,395,399,404,496.5,554.1,502.4,565.4,680,"BA"
"1295",3,1,"M",4,"Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1296",1,1,"M",4,"B",393,398,401,406,391.5,599,484.6,598.9,640,"PE"
"1297",3,1,"F",2,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES"
"1298",1,1,"M",4,"L",392,398,401,404,663.9,676.4,595.6,675.6,740,"SP"
"1299",1,1,"F",4,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"1300",3,1,"F",5,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1301",1,1,"F",5,"M",392,395,399,404,669.6,691,671.9,737.9,760,"MG"
"1302",3,1,"F",4,"C",394,395,399,405,548.7,455.8,502.5,474.3,580,"MS"
"1303",2,1,"F",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"1304",3,1,"F",3,"E",394,397,402,405,511.3,535.2,561.4,383.2,680,"PE"
"1305",2,1,"M",1,"B",394,398,401,405,515.5,590.4,603.3,477.7,620,"SP"
"1306",3,1,"M",5,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TO"
"1307",3,1,"M",3,"E",394,398,401,405,744.9,664.5,590.5,756.3,980,"MS"
"1308",3,1,"M",7,"L",392,398,401,404,580.2,658.6,616.3,718,540,"MG"
"1309",3,2,"F",6,"C",393,397,402,406,447.4,488.1,458.9,449.2,560,"PA"
"1310",1,1,"F",3,"B",393,398,401,406,470,545,464.9,479.9,0,"SP"
"1311",3,1,"F",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"1312",3,1,"F",2,"B",391,397,402,403,588.4,530.2,496.4,552.8,500,"AC"
"1313",1,1,"M",3,"C",393,396,400,406,594.9,582.1,545.9,475.6,600,"DF"
"1314",3,1,"F",2,"D",391,398,401,403,540.4,578.8,561.9,485.8,540,"GO"
"1315",3,1,"M",3,"G",394,398,401,405,462.5,455.3,432.4,429.4,460,"SP"
"1316",1,1,"F",2,"C",393,395,399,406,628.3,653.1,612.3,645.9,920,"SP"
"1317",3,1,"F",6,"C",391,395,399,403,450.5,408.3,488.1,376.9,0,"BA"
"1318",3,1,"M",3,"G",391,396,400,403,610.2,643.1,632.5,601.8,680,"SP"
"1319",1,1,"M",5,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"1320",3,1,"F",4,"I",391,396,400,403,399.7,482,605.1,638.9,640,"MG"
"1321",3,1,"M",8,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA"
"1322",3,1,"F",2,"B",394,397,402,405,405.1,474,551.1,392.5,520,"BA"
"1323",1,1,"F",2,"G",391,395,399,403,547.2,603.8,569,625.1,540,"RS"
"1324",3,1,"F",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AM"
"1325",1,1,"F",4,"E",394,395,399,405,593,567.8,534.7,480.5,560,"SP"
"1326",1,1,"M",3,"C",392,395,399,404,606.6,625.2,555.4,708.9,660,"CE"
"1327",1,2,"F",4,"H",391,396,400,403,453.6,355.6,507.7,413.5,440,"RJ"
"1328",3,1,"M",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA"
"1329",3,1,"F",6,"E",391,395,399,403,513.3,460.8,546.2,596.2,500,"SE"
"1330",3,1,"F",3,"C",392,395,399,404,534.7,593.3,560.2,442.9,520,"GO"
"1331",3,1,"F",3,"I",394,395,399,405,540.1,582.8,645.4,590.6,760,"SP"
"1332",3,1,"F",3,"D",392,396,400,404,441.7,500.1,536.3,556.5,0,"SP"
"1333",3,1,"M",5,"F",391,398,401,403,579.1,479.5,477.2,416.1,0,"PA"
"1334",1,1,"M",5,"C",394,395,399,405,450.4,404.9,493.7,381.2,260,"BA"
"1335",1,3,"F",3,"G",391,395,399,403,618.6,486.4,612.3,656.3,780,"SP"
"1336",4,1,"M",4,"F",392,398,401,404,508.4,588,533.8,479.9,0,"ES"
"1337",1,1,"F",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"1338",1,1,"F",4,"C",391,398,401,403,506.8,582.9,551.8,418.6,440,"SP"
"1339",2,1,"M",3,"D",394,398,401,405,564.3,598,433,394.8,720,"PA"
"1340",3,1,"M",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1341",3,1,"F",3,"C",392,395,399,404,514.1,577,514.6,546.7,520,"BA"
"1342",1,1,"F",3,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"1343",1,2,"F",4,"D",394,395,399,405,519.9,613.7,598.7,573,500,"SP"
"1344",3,1,"M",3,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"1345",3,1,"M",4,"B",392,396,400,404,573,614,565.4,490.4,640,"BA"
"1346",1,1,"M",4,"B",394,395,399,405,549.8,610.7,605.9,427.3,560,"RS"
"1347",3,1,"F",5,"B",394,395,399,405,595,407.1,357.4,554,600,"ES"
"1348",1,1,"F",4,"F",391,398,401,403,502.3,498.5,507,607.1,580,"MA"
"1349",3,1,"M",2,"C",394,397,402,405,571.6,585.7,526,501.1,560,"MS"
"1350",1,1,"M",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
"1351",1,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1352",1,1,"F",3,"B",391,398,401,403,415.8,508.8,528.2,505.9,0,"RJ"
"1353",1,2,"F",4,"B",391,398,401,403,511.2,520.8,544.7,453.4,440,"MA"
"1354",2,1,"F",3,"C",392,395,399,404,497.9,527.6,521.9,423.1,680,"RJ"
"1355",1,1,"M",3,"F",392,395,399,404,494.8,615.3,610.6,460,520,"RS"
"1356",1,2,"F",3,"B",394,397,402,405,518.7,583.4,541.4,566.7,640,"RN"
"1357",3,1,"F",2,"A",392,396,400,404,491.6,555.1,579.6,530.2,640,"DF"
"1358",2,1,"F",2,"B",394,396,400,405,569.6,553.8,541.8,460.2,520,"BA"
"1359",1,1,"F",1,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"1360",1,1,"F",2,"B",392,395,399,404,555.2,572.1,571.4,561.1,520,"GO"
"1361",1,1,"M",2,"E",392,395,399,404,494.9,434.4,428,509.9,540,"PR"
"1362",1,1,"F",5,"H",392,398,401,404,574.4,564,546.5,554,660,"MG"
"1363",1,1,"F",5,"C",394,398,401,405,495.2,603.7,606.4,599,620,"SP"
"1364",2,3,"F",4,"K",392,396,400,404,565.3,580.6,516.8,495.2,680,"RJ"
"1365",2,1,"F",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"1366",2,1,"M",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT"
"1367",2,2,"F",3,"B",393,398,401,406,557.4,559.5,566.9,634,600,"MG"
"1368",3,1,"F",4,"D",393,397,402,406,604.4,651.5,567.3,587.9,880,"PB"
