"","TP_COR_RACA","TP_ESCOLA","TP_SEXO","Q005","Q006","CO_PROVA_CN","CO_PROVA_CH","CO_PROVA_LC","CO_PROVA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","SG_UF_RESIDENCIA"
"1",1,1,"F",3,"D",393,398,401,406,445.4,589,621.5,465.5,560,"SP"
"2",1,1,"F",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MS"
"3",1,1,"F",4,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"4",1,1,"F",4,"D",393,395,399,406,604,610.4,563.9,591.2,580,"SC"
"5",3,1,"M",3,"C",392,395,399,404,482.1,569.2,570.8,584.6,580,"AL"
"6",1,1,"F",3,"J",393,396,400,406,558.8,594.9,522.8,578.5,540,"RS"
"7",2,1,"M",2,"D",394,397,402,405,625.9,636.8,588.3,607.5,400,"PR"
"8",1,1,"F",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SC"
"9",1,1,"F",1,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"10",3,1,"M",3,"B",391,396,400,403,533.8,427.6,320.7,479,320,"PE"
"11",1,1,"F",4,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"12",0,1,"F",6,"J",392,396,400,404,613.2,616.7,623.1,656.5,560,"BA"
"13",3,1,"F",1,"B",393,398,401,406,445.7,458,462.5,430.1,420,"MT"
"14",1,1,"M",5,"E",391,397,402,403,501.8,566.6,544.9,645.1,620,"CE"
"15",2,1,"M",5,"C",392,395,399,404,462.5,523.6,571.5,517.6,620,"CE"
"16",3,1,"M",3,"Q",394,396,400,405,674.8,682.7,626.4,795,780,"PI"
"17",3,1,"F",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"18",1,1,"F",2,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"19",2,1,"F",2,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"20",3,1,"F",5,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO"
"21",3,1,"M",1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
"22",1,1,"F",3,"B",393,395,399,406,402.9,447.6,537.3,425.5,640,"SP"
"23",1,1,"M",5,"A",394,396,400,405,456.9,473.4,508.1,430.8,0,"MG"
"24",1,1,"F",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO"
"25",1,1,"F",5,"C",391,398,401,403,451.8,513.7,522.9,481.7,520,"AP"
"26",1,1,"M",2,"I",393,396,400,406,706.5,709.9,625.1,769.1,620,"SP"
"27",1,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"28",3,1,"M",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"29",1,1,"M",2,"D",394,398,401,405,641.8,662.4,615.5,790.4,700,"RS"
"30",1,1,"F",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO"
"31",1,1,"M",3,"D",391,395,399,403,527.4,545.7,561.5,500.6,700,"PE"
"32",1,1,"M",4,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"33",2,1,"F",2,"J",391,397,402,403,631.1,609.7,596.1,535.5,720,"SP"
"34",2,1,"F",4,"B",394,397,402,405,521.7,590.8,561.9,622.8,680,"BA"
"35",3,1,"F",4,"C",392,397,402,404,534.9,634.1,597.9,472.9,680,"BA"
"36",1,1,"M",4,"E",391,397,402,403,536.1,604.8,605.9,672.2,480,"PR"
"37",0,1,"F",5,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MS"
"38",2,1,"F",1,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES"
"39",2,1,"F",3,"M",394,395,399,405,653,677.7,643.9,696.1,660,"BA"
"40",3,1,"M",4,"C",392,398,401,404,629.1,552.5,557.1,459.2,0,"MG"
"41",3,1,"M",5,"D",393,395,399,406,486,636.9,554,422.4,540,"ES"
"42",1,1,"F",1,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"43",3,1,"M",3,"B",393,398,401,406,562.1,543.4,530.4,539.7,840,"RN"
"44",3,1,"M",3,"C",391,397,402,403,473.5,594,371.1,439.9,560,"MA"
"45",3,1,"F",6,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"46",1,1,"F",5,"H",394,398,401,405,685.2,719.2,619.4,799.6,800,"SP"
"47",1,1,"F",6,"G",394,396,400,405,509,606.2,558.6,545,500,"SP"
"48",3,3,"M",6,"P",394,395,399,405,540.7,583,472.9,405.1,580,"AM"
"49",3,1,"M",7,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MA"
"50",1,1,"M",3,"Q",394,395,399,405,770.2,749.5,636.9,873.2,880,"MS"
"51",1,1,"F",4,"C",392,395,399,404,430.6,630,549.5,493.9,780,"MA"
"52",1,1,"F",5,"G",393,397,402,406,615.8,610.5,593.6,613.9,720,"AM"
"53",3,1,"F",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES"
"54",2,1,"M",6,"E",392,395,399,404,545.9,574,585.2,528.1,620,"BA"
"55",4,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"56",3,1,"M",3,"C",394,396,400,405,418,500.9,482.5,463,520,"MG"
"57",1,1,"F",2,"D",393,397,402,406,462.6,534.8,561.8,415.5,740,"DF"
"58",1,1,"F",2,"C",393,395,399,406,629.1,597,582.2,706.6,860,"MG"
"59",3,1,"M",2,"C",NA,395,399,NA,NA,436.4,407,NA,360,"ES"
"60",1,1,"F",2,"C",393,396,400,406,569,613.3,595.3,608.5,600,"RS"
"61",2,1,"F",3,"C",392,398,401,404,504.8,411.4,458.7,439.2,520,"RS"
"62",3,1,"F",5,"B",393,395,399,406,409.4,472.5,485.6,535.8,500,"BA"
"63",1,1,"F",4,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"64",3,1,"F",7,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"65",1,1,"F",3,"G",394,396,400,405,632.1,641.6,605.3,699.1,820,"RJ"
"66",3,1,"M",3,"B",394,397,402,405,635.5,600.8,571.1,594.4,820,"SE"
"67",1,1,"F",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DF"
"68",2,1,"F",3,"B",394,397,402,405,603.3,570.4,549.9,414.5,700,"PB"
"69",3,1,"M",4,"B",393,395,399,406,508.9,436.7,490.2,407.6,560,"MG"
"70",1,1,"F",4,"E",392,395,399,404,603.7,594.1,571.5,578.2,740,"PR"
"71",3,1,"M",4,"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"72",2,1,"M",4,"C",391,398,401,403,475.5,513.4,508.2,566.1,520,"RJ"
"73",2,1,"M",3,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"74",3,1,"M",4,"I",392,397,402,404,629.6,647.9,584.3,480.7,460,"BA"
"75",3,1,"F",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DF"
"76",1,1,"F",4,"I",393,397,402,406,440.5,596.4,537,551.9,560,"SC"
"77",1,1,"F",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
"78",1,1,"M",3,"C",392,397,402,404,661.3,680.2,587.3,716.1,720,"SP"
"79",2,1,"F",3,"D",394,397,402,405,502.3,565.2,533.1,469.3,620,"MG"
"80",3,1,"F",6,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"81",1,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"82",1,1,"M",3,"I",391,398,401,403,649.3,676.7,578.6,799.5,840,"MG"
"83",1,1,"F",5,"C",393,395,399,406,636.5,621.4,584.9,634.7,580,"SP"
"84",1,1,"F",4,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"85",2,2,"F",3,"Q",393,395,399,406,396.4,401.6,350.7,494.2,280,"BA"
"86",3,1,"F",8,"C",393,396,400,406,522.2,549.2,530.7,484.6,540,"GO"
"87",3,1,"M",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"88",3,1,"M",3,"D",NA,396,400,NA,NA,523.7,495.9,NA,0,"AM"
"89",3,1,"F",2,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RJ"
"90",3,1,"M",3,"C",392,397,402,404,493,591.5,541.5,564.9,540,"TO"
"91",3,1,"F",4,"B",394,396,400,405,420.7,560,515.3,410.4,0,"SE"
"92",3,1,"F",5,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"93",3,2,"F",5,"F",391,397,402,403,452.8,451.3,529.1,439.1,520,"SP"
"94",3,1,"M",3,"C",394,398,401,405,522.2,448.4,494,395.4,520,"SP"
"95",1,1,"M",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
"96",2,1,"M",2,"B",393,395,399,406,480.2,429.1,488.9,614.9,420,"BA"
"97",2,1,"F",3,"C",391,396,400,403,523.8,559.3,586.1,548.1,620,"RS"
"98",1,1,"F",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"99",3,1,"M",4,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"100",3,1,"F",2,"B",391,396,400,403,393.5,417.1,423.4,403.9,300,"BA"
"101",2,1,"F",3,"C",NA,398,401,NA,NA,496.6,544.5,NA,540,"PI"
"102",2,1,"F",3,"B",392,395,399,404,443.8,449.1,466.7,515.7,620,"BA"
"103",3,1,"M",3,"B",394,397,402,405,453.8,507,498.6,684.3,720,"CE"
"104",3,1,"F",6,"D",392,396,400,404,495.9,508.4,491.9,544,340,"RJ"
"105",1,1,"F",6,"H",NA,395,399,NA,NA,598.6,507.5,NA,600,"MS"
"106",1,1,"F",3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"107",1,1,"M",4,"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"108",3,1,"M",9,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL"
"109",1,1,"F",5,"A",391,396,400,403,423.3,459.1,468.4,448.4,380,"RN"
"110",3,1,"M",4,"E",392,398,401,404,644.1,606.3,599.8,744.8,620,"PE"
"111",1,1,"M",4,"C",391,398,401,403,586.5,613.1,552.1,510.8,600,"MG"
"112",3,1,"M",7,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"113",2,2,"F",4,"D",392,397,402,404,496,484.3,515.7,531.8,520,"SP"
"114",2,1,"M",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MA"
"115",3,1,"F",3,"D",393,398,401,406,592.8,590.6,565.6,530.4,560,"AC"
"116",1,1,"F",3,"C",393,395,399,406,423.8,542.9,491.2,546.5,560,"SP"
"117",1,1,"M",4,"M",393,398,401,406,740.3,700.9,706.6,869.4,900,"PE"
"118",1,3,"M",6,"B",393,398,401,406,591.1,689.6,604.8,704.9,800,"BA"
"119",0,1,"F",2,"I",392,397,402,404,690.5,669.1,589.4,684.3,940,"BA"
"120",1,1,"M",4,"I",394,396,400,405,640.2,708.5,577,801.2,800,"PR"
"121",3,1,"M",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"122",1,1,"F",3,"D",393,398,401,406,449,501.7,551.5,554.4,660,"MG"
"123",3,1,"F",4,"E",391,396,400,403,567.4,581,587.9,637,660,"MG"
"124",3,1,"M",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA"
"125",3,1,"M",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"126",3,1,"M",5,"G",393,398,401,406,544.6,659.5,633.1,571.2,580,"SP"
"127",3,1,"M",6,"C",392,396,400,404,378.9,450.7,455.9,397.6,400,"SP"
"128",1,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"129",3,1,"F",4,"G",392,396,400,404,485.1,603,533.3,506.8,560,"SP"
"130",1,1,"M",4,"L",393,396,400,406,707.4,669.6,606.6,858.6,920,"SE"
"131",1,1,"M",3,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"132",2,1,"F",3,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"133",3,1,"M",4,"H",392,396,400,404,639.8,646.9,636.1,768.1,840,"MG"
"134",1,1,"M",2,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES"
"135",2,1,"M",4,"C",394,395,399,405,501.9,583.5,533.4,544.1,600,"SC"
"136",0,1,"M",4,"G",391,398,401,403,609.3,656.4,570.3,700.2,600,"MG"
"137",1,1,"M",1,"C",392,398,401,404,447.4,570.9,518.6,457.6,480,"RS"
"138",1,1,"F",5,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PI"
"139",3,1,"F",3,"F",393,395,399,406,542.4,540.9,573.7,520.1,460,"MG"
"140",1,1,"F",2,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"141",1,1,"M",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA"
"142",0,1,"M",4,"E",393,397,402,406,538.6,594.7,546.9,668.4,640,"MG"
"143",1,1,"M",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"144",3,1,"F",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"145",3,1,"F",3,"D",394,396,400,405,439.5,557.5,529,520.7,0,"SP"
"146",3,1,"M",3,"C",394,395,399,405,473.3,575.9,445.2,579,760,"MG"
"147",3,1,"F",2,"E",391,396,400,403,558.2,550.2,557.6,448,660,"GO"
"148",3,1,"F",2,"G",392,396,400,404,504.3,563.6,554.3,518.3,340,"PR"
"149",3,1,"M",1,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"150",1,1,"M",3,"F",393,397,402,406,595.2,633,594.1,574.2,540,"GO"
"151",1,1,"M",3,"C",391,398,401,403,515.5,516.5,466.1,509.2,680,"DF"
"152",1,1,"M",4,"B",391,395,399,403,558.9,590,575.3,587.8,640,"SP"
"153",3,1,"F",4,"F",391,395,399,403,496,552.2,511,597.9,620,"MG"
"154",3,1,"F",3,"B",392,396,400,404,532.8,487.1,513.8,492.1,520,"PI"
"155",3,1,"F",4,"C",NA,395,399,NA,NA,493.2,567.4,NA,500,"PR"
"156",1,1,"F",2,"L",392,397,402,404,618.5,662.4,637.3,613.1,560,"DF"
"157",3,1,"M",4,"N",391,397,402,403,653.2,617.8,618.4,708.1,620,"ES"
"158",1,1,"M",3,"C",392,398,401,404,505.6,436.9,467.2,401.8,0,"SP"
"159",2,2,"M",2,"C",393,397,402,406,580.5,650.1,597.1,600.2,500,"SP"
"160",1,1,"F",4,"H",392,396,400,404,558.3,593.6,554.6,604.6,620,"SP"
"161",4,1,"M",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PI"
"162",1,1,"F",3,"F",392,397,402,404,527.4,576.2,592.4,555.3,640,"SP"
"163",0,1,"M",3,"M",394,395,399,405,692.7,704.7,667.2,793.9,980,"SC"
"164",2,1,"F",2,"B",393,397,402,406,415.1,554.4,512,372.4,480,"SP"
"165",1,1,"F",5,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"166",3,1,"F",8,"D",394,395,399,405,529.2,584.3,528.4,463.2,680,"AM"
"167",1,3,"F",4,"L",391,397,402,403,627.5,582.4,458.8,522.7,580,"PR"
"168",3,1,"F",4,"B",391,395,399,403,412.4,544,496.6,372.3,480,"MA"
"169",1,1,"F",3,"G",394,397,402,405,645.6,652.5,655.2,734.7,840,"SP"
"170",3,1,"M",4,"I",393,397,402,406,585.1,609.9,575.8,568.2,680,"SP"
"171",2,1,"F",4,"F",391,395,399,403,546.8,584.1,576.5,412.2,380,"PR"
"172",1,1,"F",6,"D",392,395,399,404,434.1,522.7,547.5,480.5,580,"RS"
"173",1,1,"M",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"174",3,1,"F",2,"D",394,398,401,405,424.9,555.8,589.2,496.8,540,"SP"
"175",1,1,"F",2,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"176",1,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SE"
"177",0,1,"F",4,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"178",3,1,"M",4,"B",394,396,400,405,607.3,631.6,544.2,603.4,680,"SE"
"179",1,1,"F",4,"C",391,397,402,403,600.7,578.2,608.2,556.1,540,"MA"
"180",1,1,"F",3,"G",392,398,401,404,603.4,630.1,620.6,589.7,720,"CE"
"181",1,1,"F",5,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"182",1,1,"M",3,"E",391,395,399,403,515,566.8,505.6,586.5,620,"MS"
"183",3,2,"F",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PI"
"184",0,1,"M",2,"D",394,396,400,405,700.9,671.5,663,820.5,700,"MG"
"185",2,1,"M",4,"D",392,396,400,404,502.5,626.7,647.2,592.6,560,"SP"
"186",3,1,"M",6,"C",392,398,401,404,654,583.1,552.5,590.5,600,"BA"
"187",3,1,"M",7,"C",393,398,401,406,581.7,502.4,495.9,503.6,560,"MA"
"188",1,1,"F",2,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RJ"
"189",3,1,"F",2,"B",393,398,401,406,579.8,612.8,578.9,548.3,540,"PR"
"190",1,1,"M",4,"B",394,397,402,405,464.1,546,562.2,378.8,480,"SP"
"191",2,1,"F",2,"D",391,398,401,403,549.3,563.6,576.7,541.9,700,"BA"
"192",3,1,"M",3,"D",393,395,399,406,520,445.8,498.8,433.6,520,"SP"
"193",3,1,"M",3,"D",391,395,399,403,581.5,490.8,479.4,518.2,760,"MG"
"194",3,1,"F",3,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"195",3,1,"F",4,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DF"
"196",1,1,"F",2,"H",392,396,400,404,535.3,556.8,538.6,485.1,560,"SP"
"197",1,1,"F",2,"C",392,397,402,404,426.1,403.9,539.3,423.6,660,"MG"
"198",2,1,"M",8,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"199",1,1,"M",1,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"200",3,2,"M",3,"B",NA,398,401,NA,NA,519.8,474.1,NA,0,"BA"
"201",1,1,"M",4,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"202",1,1,"F",5,"E",394,395,399,405,388.4,521.5,507.6,598.3,520,"SC"
"203",3,1,"F",2,"C",393,398,401,406,572.5,474.9,443.2,398.8,600,"PA"
"204",3,1,"F",4,"F",394,398,401,405,448,506.3,474.4,540,520,"SP"
"205",3,1,"M",1,"B",394,398,401,405,510.5,577.6,563.4,502.8,600,"PB"
"206",1,1,"F",2,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"207",3,1,"M",4,"J",392,396,400,404,637.5,621.5,543,579.9,620,"ES"
"208",3,1,"M",4,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO"
"209",3,1,"M",3,"C",394,395,399,405,465.3,592.7,517.6,481.6,500,"PA"
"210",1,1,"M",4,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES"
"211",3,1,"F",5,"P",394,395,399,405,690.6,693.7,669.4,754.3,940,"DF"
"212",1,1,"M",4,"C",392,398,401,404,560.7,550.8,500,526.7,560,"SP"
"213",1,1,"F",2,"B",391,397,402,403,490.2,513.3,537.7,550.2,520,"SP"
"214",3,1,"F",3,"D",391,396,400,403,563.4,607.6,536.1,549.4,540,"MG"
"215",2,1,"M",3,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"216",2,1,"F",6,"B",391,396,400,403,454.2,472.9,412.8,445.6,580,"PA"
"217",1,1,"M",3,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RJ"
"218",1,1,"F",3,"C",393,397,402,406,541.6,633.5,619.1,691.9,620,"PR"
"219",3,1,"M",4,"E",392,397,402,404,586.5,535,568,548.7,500,"CE"
"220",3,1,"F",4,"E",392,398,401,404,492.8,539.5,504,482.6,460,"MG"
"221",1,1,"M",3,"C",391,398,401,403,585.6,653.5,519.1,500.5,0,"MG"
"222",3,1,"M",2,"C",NA,397,402,NA,NA,357,466.3,NA,420,"MG"
"223",1,1,"F",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"224",3,1,"F",3,"C",392,397,402,404,551.3,429.6,456.1,579.9,520,"MT"
"225",2,2,"M",5,"D",NA,395,399,NA,NA,595.3,550.7,NA,0,"BA"
"226",3,1,"F",5,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO"
"227",1,1,"M",4,"E",393,396,400,406,491.1,537.8,546.2,457.9,480,"SP"
"228",1,1,"F",6,"J",391,395,399,403,558.2,585,586.4,552.7,540,"PR"
"229",3,1,"F",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MA"
"230",2,1,"M",4,"D",391,398,401,403,558.1,614.6,492,489,560,"SP"
"231",3,1,"M",2,"G",393,398,401,406,621.4,656.4,614.5,721.6,660,"SP"
"232",1,1,"M",5,"D",393,398,401,406,474.2,537.9,524.4,383.5,260,"PB"
"233",1,1,"M",4,"C",391,396,400,403,538.4,571.9,552.9,481.4,0,"PI"
"234",3,1,"F",5,"H",394,397,402,405,554.9,491.2,526.8,532.4,640,"PA"
"235",3,1,"F",1,"C",392,396,400,404,560.3,610.4,545.5,516,680,"SP"
"236",1,1,"F",5,"E",392,398,401,404,602.2,598.6,557.9,447.6,660,"RJ"
"237",1,1,"F",3,"Q",391,395,399,403,611.1,607.7,565.8,553.8,620,"RN"
"238",1,1,"F",5,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"239",1,1,"M",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"240",3,1,"F",2,"B",391,396,400,403,533.4,412.4,542.5,501.5,720,"BA"
"241",1,1,"F",4,"D",394,395,399,405,479.1,545.3,482.1,544,340,"PR"
"242",1,1,"F",2,"B",391,397,402,403,542.1,616.9,595.1,432.2,760,"CE"
"243",1,1,"F",10,"F",394,397,402,405,624.3,648.2,585.7,442.1,800,"MG"
"244",1,1,"F",3,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"245",3,1,"M",5,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO"
"246",1,3,"F",3,"N",393,398,401,406,656.7,669.7,667.9,686.2,800,"SP"
"247",3,1,"F",6,"I",394,397,402,405,510.7,513,489.6,528,520,"SC"
"248",0,1,"F",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DF"
"249",3,1,"M",7,"C",392,397,402,404,430.8,465.7,485.9,444.7,360,"RJ"
"250",3,1,"F",3,"H",394,398,401,405,708.9,612.3,640.4,548.3,720,"MT"
"251",2,1,"M",2,"F",391,396,400,403,554.4,543.5,569.6,502.1,540,"ES"
"252",3,1,"F",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"253",2,1,"F",7,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"254",0,1,"M",3,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MA"
"255",1,1,"F",4,"H",392,398,401,404,635.3,681.3,618.3,674.4,560,"SP"
"256",1,1,"M",3,"Q",393,397,402,406,646,625.9,601,757.1,820,"BA"
"257",1,1,"F",3,"C",394,398,401,405,461.5,527.1,490.6,393.4,500,"PB"
"258",1,2,"M",5,"H",394,395,399,405,674.3,628.5,569.1,664.1,700,"SP"
"259",2,1,"F",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DF"
"260",1,1,"M",1,"A",NA,397,402,NA,NA,601.1,530.9,NA,500,"GO"
"261",1,1,"F",2,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"262",0,1,"F",3,"C",394,396,400,405,447.8,600.6,559.4,511.6,660,"SP"
"263",1,1,"F",2,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"264",1,2,"F",3,"L",394,397,402,405,565.7,523.5,555.2,526.8,320,"SP"
"265",1,1,"F",4,"J",394,396,400,405,685.8,681.2,577.5,520.7,780,"SP"
"266",3,1,"F",6,"E",391,398,401,403,436.4,432.7,478.5,489.7,520,"PB"
"267",1,1,"M",4,"G",392,396,400,404,675.2,745,654.2,785.4,720,"MG"
"268",2,1,"F",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RJ"
"269",1,1,"M",7,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES"
"270",2,1,"F",4,"C",393,398,401,406,438.5,499.3,460.7,445.3,560,"BA"
"271",2,1,"F",3,"E",391,396,400,403,489.3,459.7,564.2,442.5,560,"SP"
"272",4,1,"F",2,"D",392,398,401,404,505.6,510.2,460.1,453.3,680,"SP"
"273",3,1,"M",4,"B",394,397,402,405,488.6,608.2,437.7,596.1,800,"CE"
"274",3,1,"F",5,"H",393,398,401,406,636.8,620.1,594.3,645.7,920,"MG"
"275",2,1,"M",1,"B",394,396,400,405,535.2,604.2,538.3,422.5,520,"BA"
"276",1,1,"M",5,"F",394,396,400,405,552.8,567.8,559.3,745.1,480,"SP"
"277",2,1,"M",5,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RN"
"278",3,1,"M",4,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA"
"279",3,1,"M",3,"E",392,397,402,404,517,579.1,573.2,471.4,620,"MG"
"280",1,1,"M",3,"Q",392,395,399,404,689.8,732.6,669.9,712.2,800,"PE"
"281",3,1,"M",4,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"282",2,1,"F",4,"E",391,398,401,403,512,459.3,432,424.1,480,"DF"
"283",1,1,"M",4,"C",391,395,399,403,566.9,516.5,552.3,569,540,"SC"
"284",1,3,"F",4,"P",393,396,400,406,551.1,650.3,620.2,534.3,600,"PR"
"285",2,1,"F",2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"286",2,1,"M",7,"I",393,396,400,406,621.4,611.8,605.8,554.4,580,"PR"
"287",3,1,"F",5,"C",394,395,399,405,419.6,430.6,550.6,454.5,680,"PB"
"288",2,1,"F",2,"D",394,396,400,405,507.5,490.9,511.8,430,600,"PI"
"289",1,1,"M",5,"D",391,395,399,403,541.1,404.9,485,495.8,560,"MG"
"290",1,1,"M",4,"F",391,398,401,403,543.1,588.4,555.8,575.2,580,"SP"
"291",2,1,"F",3,"M",394,396,400,405,514.1,611,595.3,476.1,580,"MG"
"292",1,1,"F",3,"C",392,397,402,404,500,522.8,551.7,573.4,600,"RS"
"293",2,1,"F",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MG"
"294",1,1,"F",2,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RJ"
"295",1,1,"F",5,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"296",3,1,"F",5,"F",392,398,401,404,612.9,659.7,569.3,619.5,580,"MG"
"297",3,1,"M",5,"I",391,396,400,403,599.7,632.6,514.8,546.6,820,"PB"
"298",3,1,"F",4,"D",393,397,402,406,444.8,490.8,497.6,609.4,460,"PE"
"299",3,1,"F",3,"C",394,396,400,405,418.3,573.3,571.1,537.2,580,"SP"
"300",1,1,"F",3,"Q",393,396,400,406,535.1,566.1,598.1,451.7,740,"MA"
"301",1,1,"M",2,"C",391,397,402,403,580.8,606.4,577.8,584.2,540,"PR"
