ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
1271,-2.92,-44.06,PRESIDENTE JUSCELINO - MA,PRESIDENTE JUSCELINO,MA,50.654.838.820.809
1272,-2.38,-45.82,PRESIDENTE MEDICI - MA,PRESIDENTE MEDICI,MA,3.249.709.418.436
1273,-2.59,-45.36,PRESIDENTE SARNEY - MA,PRESIDENTE SARNEY,MA,80.100.045.473.435
1274,-3.4,-44.02,PRESIDENTE VARGAS - MA,PRESIDENTE VARGAS,MA,56.934.761.613.677
1275,-2.51,-43.43,PRIMEIRA CRUZ - MA,PRIMEIRA CRUZ,MA,60.109.636.338.798
1276,-2.42,-44.1,RAPOSA - MA,RAPOSA,MA,9.178.135.404.294
1277,-7.36,-46.61,RIACHAO - MA,RIACHAO,MA,12.136.611.497.315
1278,-5.93,-47.38,RIBAMAR FIQUENE - MA,RIBAMAR FIQUENE,MA,36.445.736.665.305
1279,-2.93,-44.23,ROSARIO - MA,ROSARIO,MA,1.961.346.309.655
1280,-7.14,-45.34,SAMBAIBA - MA,SAMBAIBA,MA,36.500.606.367.794
1281,-5.5,-44.56,SANTA FILOMENA DO MARANHAO - MA,SANTA FILOMENA DO MARANHAO,MA,21.826.269.240.591
1282,-2.23,-45.3,SANTA HELENA - MA,SANTA HELENA,MA,18.219.443.356.117
1283,-3.66,-45.38,SANTA INES - MA,SANTA INES,MA,43.284.265.317.018
1284,-4.06,-45.69,SANTA LUZIA - MA,SANTA LUZIA,MA,35.628.776.796.178
1285,-2.62,-45.77,SANTA LUZIA DO PARUA - MA,SANTA LUZIA DO PARUA,MA,13.883.698.106.418
1286,-3.51,-42.54,SANTA QUITERIA DO MARANHAO - MA,SANTA QUITERIA DO MARANHAO,MA,11.839.917.869.144
1287,-3.14,-44.32,SANTA RITA - MA,SANTA RITA,MA,12.871.983.426.474
1288,-3.11,-42.41,SANTANA DO MARANHAO - MA,SANTANA DO MARANHAO,MA,45.659.343.239.198
1289,-2.5,-43.25,SANTO AMARO DO MARANHAO - MA,SANTO AMARO DO MARANHAO,MA,59.229.080.787.873
1290,-4.86,-44.36,SANTO ANTONIO DOS LOPES - MA,SANTO ANTONIO DOS LOPES,MA,10.031.832.879.835
1291,-3.33,-43.52,SAO BENEDITO DO RIO PRETO - MA,SAO BENEDITO DO RIO PRETO,MA,92.237.955.364.426
1292,-2.69,-44.82,SAO BENTO - MA,SAO BENTO,MA,20.894.203.241.505
1293,-3.36,-42.41,SAO BERNARDO - MA,SAO BERNARDO,MA,12.840.627.515.927
1294,-6.81,-44.64,SAO DOMINGOS DO AZEITAO - MA,SAO DOMINGOS DO AZEITAO,MA,3.051.646.132.535
1295,-5.57,-44.38,SAO DOMINGOS DO MARANHAO - MA,SAO DOMINGOS DO MARANHAO,MA,2.124.025.662.253
1296,-7.08,-44.81,SAO FELIX DE BALSAS - MA,SAO FELIX DE BALSAS,MA,36.274.708.556.492
1297,-5.12,-47.38,SAO FRANCISCO DO BREJAO - MA,SAO FRANCISCO DO BREJAO,MA,40.212.143.875.972
1298,-6.25,-42.85,SAO FRANCISCO DO MARANHAO - MA,SAO FRANCISCO DO MARANHAO,MA,84.388.610.748.742
1299,-2.95,-44.8,SAO JOAO BATISTA - MA,SAO JOAO BATISTA,MA,12.030.115.374.455
1300,-3.55,-46.25,SAO JOAO DO CARU - MA,SAO JOAO DO CARU,MA,79.228.555.270.282
1301,-6.46,-47.05,SAO JOAO DO PARAISO - MA,SAO JOAO DO PARAISO,MA,53.986.831.439.818
1302,-5.11,-43.81,SAO JOAO DO SOTER - MA,SAO JOAO DO SOTER,MA,78.391.750.203.679
1303,-6.49,-43.7,SAO JOAO DOS PATOS - MA,SAO JOAO DOS PATOS,MA,15.050.552.865.949
1304,-2.56,-44.05,SAO JOSE DE RIBAMAR - MA,SAO JOSE DE RIBAMAR,MA,58.011.898.783.706
1305,-5.05,-44.58,SAO JOSE DOS BASILIOS - MA,SAO JOSE DOS BASILIOS,MA,46.781.781.707.135
1306,-2.53,-44.3,SAO LUIS - MA,SAO LUIS,MA,780833
1307,-4.38,-44.67,SAO LUIS GONZAGA DO MARANHAO - MA,SAO LUIS GONZAGA DO MARANHAO,MA,16.349.661.467.677
1308,-4.04,-44.47,SAO MATEUS DO MARANHAO - MA,SAO MATEUS DO MARANHAO,MA,21.342.944.007.195
1309,-5.08,-48.42,SAO PEDRO DA AGUA BRANCA - MA,SAO PEDRO DA AGUA BRANCA,MA,68.571.120.327.617
1310,-6.82,-46.53,SAO PEDRO DOS CRENTES - MA,SAO PEDRO DOS CRENTES,MA,24.735.361.648.727
1311,-7.02,-45.48,SAO RAIMUNDO DAS MANGABEIRAS - MA,SAO RAIMUNDO DAS MANGABEIRAS,MA,93.582.086.451.696
1312,-5.1,-45.07,SAO RAIMUNDO DO DOCA BEZERRA - MA,SAO RAIMUNDO DO DOCA BEZERRA,MA,39.239.797.823.415
1313,-5.02,-44.99,SAO ROBERTO - MA,SAO ROBERTO,MA,23.201.930.345.213
1314,-2.89,-44.88,SAO VICENTE FERRER - MA,SAO VICENTE FERRER,MA,10.629.649.798.462
1315,-3.84,-45.16,SATUBINHA - MA,SATUBINHA,MA,46.428.834.133.245
1316,-5.25,-44.05,SENADOR ALEXANDRE COSTA - MA,SENADOR ALEXANDRE COSTA,MA,60.479.014.666.167
1317,-5.44,-47.29,SENADOR LA ROCQUE - MA,SENADOR LA ROCQUE,MA,10.891.377.064.783
1318,-1.85,-45.12,SERRANO DO MARANHAO - MA,SERRANO DO MARANHAO,MA,10.115.190.009.905
1319,-5.87,-46.69,SITIO NOVO - MA,SITIO NOVO,MA,10.672.459.142.474
1320,-6.47,-44.19,SUCUPIRA DO NORTE - MA,SUCUPIRA DO NORTE,MA,66.968.606.495.951
1321,-6.41,-43.54,SUCUPIRA DO RIACHAO - MA,SUCUPIRA DO RIACHAO,MA,24.719.813.102.947
1322,-8.47,-45.74,TASSO FRAGOSO - MA,TASSO FRAGOSO,MA,43.221.913.522.817
1323,-4.25,-43.94,TIMBIRAS - MA,TIMBIRAS,MA,16.238.868.359.836
1324,-5.09,-42.83,TIMON - MA,TIMON,MA,76.328.131.884.362
1325,-4.53,-44.62,TRIZIDELA DO VALE - MA,TRIZIDELA DO VALE,MA,10.423.913.517.906
1326,-3.72,-45.55,TUFILANDIA - MA,TUFILANDIA,MA,36.432.615.803.693
1327,-5.25,-44.64,TUNTUM - MA,TUNTUM,MA,21.922.517.412.039
1328,-1.66,-45.37,TURIACU - MA,TURIACU,MA,17.389.840.446.456
1329,-2.2,-45.34,TURILANDIA - MA,TURILANDIA,MA,11.539.499.788.164
1330,-2.76,-42.27,TUTOIA - MA,TUTOIA,MA,258.256.288.935
1331,-3.2,-43.4,URBANO SANTOS - MA,URBANO SANTOS,MA,13.032.067.004.607
1332,-3.54,-43.91,VARGEM GRANDE - MA,VARGEM GRANDE,MA,21.192.691.648.948
1333,-3.22,-45,VIANA - MA,VIANA,MA,28.286.337.045.437
1334,-4.98,-47.99,VILA NOVA DOS MARTIRIOS - MA,VILA NOVA DOS MARTIRIOS,MA,38.960.092.729.974
1335,-3.46,-44.87,VITORIA DO MEARIM - MA,VITORIA DO MEARIM,MA,15.889.816.527.448
1336,-4.04,-45.23,VITORINO FREIRE - MA,VITORINO FREIRE,MA,21.351.837.057.394
1337,-3.24,-45.82,ZE DOCA - MA,ZE DOCA,MA,27.355.134.695.879
1338,-18.48,-47.4,ABADIA DOS DOURADOS - MG,ABADIA DOS DOURADOS,MG,41.512.315.922.132
1339,-19.16,-45.44,ABAETE - MG,ABAETE,MG,15.047.491.618.275
1340,-20.3,-42.47,ABRE CAMPO - MG,ABRE CAMPO,MG,8.337.344.218.972
1341,-20.36,-43.14,ACAIACA - MG,ACAIACA,MG,25.204.858.323.775
1342,-19.07,-42.54,ACUCENA - MG,ACUCENA,MG,72.034.504.187.791
1343,-17.99,-42.38,AGUA BOA - MG,AGUA BOA,MG,10.260.181.894.871
1344,-20.05,-48.1,AGUA COMPRIDA - MG,AGUA COMPRIDA,MG,12.822.623.060.797
1345,-20.94,-45.39,AGUANIL - MG,AGUANIL,MG,22.182.122.377.755
1346,-17.08,-40.93,AGUAS FORMOSAS - MG,AGUAS FORMOSAS,MG,12.039.359.700.945
1347,-15.74,-41.46,AGUAS VERMELHAS - MG,AGUAS VERMELHAS,MG,73.549.212.934.626
1348,-19.49,-41.06,AIMORES - MG,AIMORES,MG,1.601.500.226.519
1349,-21.97,-44.6,AIURUOCA - MG,AIURUOCA,MG,419.886.288.527
1350,-22.17,-44.64,ALAGOA - MG,ALAGOA,MG,17.004.589.865.833
1351,-22.2,-46.61,ALBERTINA - MG,ALBERTINA,MG,1.750.870.690.578
1352,-21.88,-42.7,ALEM PARAIBA - MG,ALEM PARAIBA,MG,21.334.441.952.905
1353,-21.42,-45.94,ALFENAS - MG,ALFENAS,MG,36.085.219.099.035
1354,-21.14,-43.77,ALFREDO VASCONCELOS - MG,ALFREDO VASCONCELOS,MG,315.291.451.628
1355,-16.18,-40.69,ALMENARA - MG,ALMENARA,MG,21.576.580.008.769
1356,-18.97,-41.97,ALPERCATA - MG,ALPERCATA,MG,41.742.571.634.008
1357,-20.86,-46.38,ALPINOPOLIS - MG,ALPINOPOLIS,MG,94.984.081.890.258
1358,-21.24,-46.14,ALTEROSA - MG,ALTEROSA,MG,85.652.282.703.483
1359,-20.52,-41.89,ALTO CAPARAO - MG,ALTO CAPARAO,MG,2.363.521.964.298
1360,-20.42,-41.96,ALTO JEQUITIBA - MG,ALTO JEQUITIBA,MG,51.367.040.826.172
1361,-21.02,-43.41,ALTO RIO DOCE - MG,ALTO RIO DOCE,MG,80.435.409.020.823
1362,-19.41,-41.72,ALVARENGA - MG,ALVARENGA,MG,35.093.320.240.884
1363,-20.1,-43.04,ALVINOPOLIS - MG,ALVINOPOLIS,MG,97.104.284.907.138
1364,-18.73,-43.36,ALVORADA DE MINAS - MG,ALVORADA DE MINAS,MG,24.537.015.882.467
1365,-20.5,-42.8,AMPARO DO SERRA - MG,AMPARO DO SERRA,MG,38.107.535.014.215
1366,-22.06,-46.56,ANDRADAS - MG,ANDRADAS,MG,20.277.675.589.411
1367,-21.74,-44.3,ANDRELANDIA - MG,ANDRELANDIA,MG,77.529.142.581.063
1368,-17.6,-42.16,ANGELANDIA - MG,ANGELANDIA,MG,35.522.865.582.791
1369,-21.31,-43.74,ANTONIO CARLOS - MG,ANTONIO CARLOS,MG,71.060.059.258.533
1370,-19.65,-42.87,ANTONIO DIAS - MG,ANTONIO DIAS,MG,6.360.749.391.889
1371,-21.01,-42.1,ANTONIO PRADO DE MINAS - MG,ANTONIO PRADO DE MINAS,MG,12.356.271.298.257
1372,-19.19,-44.24,ARACAI - MG,ARACAI,MG,13.014.537.206.952
1373,-21.34,-43.37,ARACITABA - MG,ARACITABA,MG,15.892.745.943.351
1374,-16.85,-42.07,ARACUAI - MG,ARACUAI,MG,21.571.359.015.167
1375,-18.64,-48.18,ARAGUARI - MG,ARAGUARI,MG,61.621.900.529.255
1376,-21.91,-44.25,ARANTINA - MG,ARANTINA,MG,1.947.136.050.711
1377,-20.66,-42.52,ARAPONGA - MG,ARAPONGA,MG,4.710.073.267.321
1378,-18.43,-49.18,ARAPORA - MG,ARAPORA,MG,3.083.025.363.055
1379,-19.03,-46.15,ARAPUA - MG,ARAPUA,MG,18.842.883.694.555
1380,-19.94,-45.16,ARAUJOS - MG,ARAUJOS,MG,36.289.013.961.309
1381,-19.59,-46.94,ARAXA - MG,ARAXA,MG,49.422.302.289.925
1382,-21.36,-46.94,ARCEBURGO - MG,ARCEBURGO,MG,46.840.376.667.739
1383,-20.28,-45.53,ARCOS - MG,ARCOS,MG,1.956.651.006.056
1384,-21.35,-46.14,AREADO - MG,AREADO,MG,77.040.828.753.584
1385,-21.61,-42.83,ARGIRITA - MG,ARGIRITA,MG,19.265.218.594.955
1386,-17.86,-42.55,ARICANDUVA - MG,ARICANDUVA,MG,26.641.639.897.818
1387,-15.91,-46.1,ARINOS - MG,ARINOS,MG,11.841.564.963.452
1388,-21.31,-42.86,ASTOLFO DUTRA - MG,ASTOLFO DUTRA,MG,7.184.801.792.574
1389,-18.04,-41.11,ATALEIA - MG,ATALEIA,MG,10.540.745.255.998
1390,-18.1,-44.26,AUGUSTO DE LIMA - MG,AUGUSTO DE LIMA,MG,32.521.523.483.327
1391,-21.95,-44.89,BAEPENDI - MG,BAEPENDI,MG,11.203.058.829.538
1392,-19.28,-43.95,BALDIM - MG,BALDIM,MG,4.780.368.532.146
1393,-20,-45.97,BAMBUI - MG,BAMBUI,MG,13.234.018.638.277
1394,-15.88,-40.55,BANDEIRA - MG,BANDEIRA,MG,34.827.634.902.806
1395,-21.72,-46.38,BANDEIRA DO SUL - MG,BANDEIRA DO SUL,MG,28.948.130.201.018
1396,-19.94,-43.48,BARAO DE COCAIS - MG,BARAO DE COCAIS,MG,14.295.970.950.736
1397,-21.24,-42.23,BARAO DE MONTE ALTO - MG,BARAO DE MONTE ALTO,MG,38.366.981.109.277
1398,-21.22,-43.77,BARBACENA - MG,BARBACENA,MG,67.374.452.217.732
1399,-20.28,-43.04,BARRA LONGA - MG,BARRA LONGA,MG,51.720.450.747.021
1400,-21.18,-43.97,BARROSO - MG,BARROSO,MG,12.087.872.106.608
1401,-19.83,-43.09,BELA VISTA DE MINAS - MG,BELA VISTA DE MINAS,MG,62.232.650.894.049
1402,-21.94,-43.41,BELMIRO BRAGA - MG,BELMIRO BRAGA,MG,22.062.117.685.304
1403,-19.81,-43.95,BELO HORIZONTE - MG,BELO HORIZONTE,MG,2091448
1404,-19.22,-42.48,BELO ORIENTE - MG,BELO ORIENTE,MG,11.547.889.161.928
1405,-20.4,-44.02,BELO VALE - MG,BELO VALE,MG,44.963.959.627.444
1406,-16.95,-42.46,BERILO - MG,BERILO,MG,81.338.602.863.068
1407,-15.61,-41.74,BERIZAL - MG,BERIZAL,MG,20.124.820.001.505
1408,-17.06,-40.57,BERTOPOLIS - MG,BERTOPOLIS,MG,25.671.228.380.656
1409,-19.96,-44.19,BETIM - MG,BETIM,MG,16.128.903.928.993
1410,-21.6,-43.75,BIAS FORTES - MG,BIAS FORTES,MG,31.426.551.090.121
1411,-21.72,-43.05,BICAS - MG,BICAS,MG,74.523.089.149.037
1412,-18.78,-45.5,BIQUINHAS - MG,BIQUINHAS,MG,19.789.499.017.202
1413,-21.09,-45.56,BOA ESPERANCA - MG,BOA ESPERANCA,MG,22.668.287.115.032
1414,-22.16,-44.39,BOCAINA DE MINAS - MG,BOCAINA DE MINAS,MG,34.946.013.903.061
1415,-17.1,-43.81,BOCAIUVA - MG,BOCAIUVA,MG,2.571.528.661.336
1416,-19.73,-45.25,BOM DESPACHO - MG,BOM DESPACHO,MG,24.759.893.928.534
1417,-21.94,-44.19,BOM JARDIM DE MINAS - MG,BOM JARDIM DE MINAS,MG,44.135.577.646.765
1418,-21.01,-46.52,BOM JESUS DA PENHA - MG,BOM JESUS DA PENHA,MG,21.947.683.272.071
1419,-19.7,-43.47,BOM JESUS DO AMPARO - MG,BOM JESUS DO AMPARO,MG,30.414.124.242.335
1420,-19.82,-42.31,BOM JESUS DO GALHO - MG,BOM JESUS DO GALHO,MG,10.903.052.043.513
1421,-22.47,-46.14,BOM REPOUSO - MG,BOM REPOUSO,MG,73.222.755.026.576
1422,-21.03,-44.75,BOM SUCESSO - MG,BOM SUCESSO,MG,10.835.774.234.383
1423,-20.32,-44.23,BONFIM - MG,BONFIM,MG,46.532.293.748.136
1424,-16.56,-45.99,BONFINOPOLIS DE MINAS - MG,BONFINOPOLIS DE MINAS,MG,46.010.582.161.032
1425,-15.32,-44.75,BONITO DE MINAS - MG,BONITO DE MINAS,MG,49.354.653.978.762
1426,-22.27,-46.16,BORDA DA MATA - MG,BORDA DA MATA,MG,78.634.995.466.821
1427,-21.63,-46.39,BOTELHOS - MG,BOTELHOS,MG,10.130.134.607.872
1428,-16.87,-43.01,BOTUMIRIM - MG,BOTUMIRIM,MG,40.928.501.756.797
1429,-20.92,-43.24,BRAS PIRES - MG,BRAS PIRES,MG,36.407.691.080.885
1430,-17.01,-46,BRASILANDIA DE MINAS - MG,BRASILANDIA DE MINAS,MG,67.623.633.766.997
1431,-16.2,-44.42,BRASILIA DE MINAS - MG,BRASILIA DE MINAS,MG,1.860.246.236.538
1432,-22.47,-45.6,BRASOPOLIS - MG,BRASOPOLIS,MG,1.008.209.595.733
1433,-19.05,-42.71,BRAUNAS - MG,BRAUNAS,MG,38.419.399.534.233
1434,-20.14,-44.2,BRUMADINHO - MG,BRUMADINHO,MG,1.577.588.997.303
1435,-22.44,-46.35,BUENO BRANDAO - MG,BUENO BRANDAO,MG,66.685.024.877.058
1436,-17.87,-44.18,BUENOPOLIS - MG,BUENOPOLIS,MG,62.922.421.878.965
1437,-19.42,-42.24,BUGRE - MG,BUGRE,MG,26.461.267.263.343
1438,-15.61,-46.42,BURITIS - MG,BURITIS,MG,13.551.500.428.584
1439,-17.35,-44.96,BURITIZEIRO - MG,BURITIZEIRO,MG,16.021.462.090.819
1440,-16.03,-47.09,CABECEIRA GRANDE - MG,CABECEIRA GRANDE,MG,37.325.144.033.809
1441,-21.47,-46.39,CABO VERDE - MG,CABO VERDE,MG,7.801.878.292.423
1442,-19.52,-44.45,CACHOEIRA DA PRATA - MG,CACHOEIRA DA PRATA,MG,22.857.284.758.282
1443,-22.35,-45.77,CACHOEIRA DE MINAS - MG,CACHOEIRA DE MINAS,MG,59.375.305.897.955
1444,-15.96,-41.49,CACHOEIRA DE PAJEU - MG,CACHOEIRA DE PAJEU,MG,58.022.428.463.338
1445,-18.51,-49.5,CACHOEIRA DOURADA - MG,CACHOEIRA DOURADA,MG,14.716.379.649.919
1446,-19.29,-44.41,CAETANOPOLIS - MG,CAETANOPOLIS,MG,47.400.794.564.452
1447,-19.88,-43.67,CAETE - MG,CAETE,MG,22.705.316.324.171
1448,-20.69,-41.92,CAIANA - MG,CAIANA,MG,28.474.489.224.706
1449,-20.79,-42.79,CAJURI - MG,CAJURI,MG,25.238.941.244.516
1450,-21.92,-46.38,CALDAS - MG,CALDAS,MG,86.455.057.870.629
1451,-20.62,-45.15,CAMACHO - MG,CAMACHO,MG,2.252.675.283.365
1452,-22.75,-46.14,CAMANDUCAIA - MG,CAMANDUCAIA,MG,11.566.374.978.561
1453,-22.61,-46.05,CAMBUI - MG,CAMBUI,MG,13.452.814.727.268
1454,-21.85,-45.29,CAMBUQUIRA - MG,CAMBUQUIRA,MG,82.000.505.814.367
1455,-18.23,-41.74,CAMPANARIO - MG,CAMPANARIO,MG,20.511.282.657.392
1456,-21.83,-45.4,CAMPANHA - MG,CAMPANHA,MG,91.424.053.410.097
1457,-21.71,-46.24,CAMPESTRE - MG,CAMPESTRE,MG,12.696.749.195.587
1458,-19.53,-49.48,CAMPINA VERDE - MG,CAMPINA VERDE,MG,12.114.877.608.031
1459,-16.5,-44.81,CAMPO AZUL - MG,CAMPO AZUL,MG,20.464.452.376.165
1460,-20.89,-45.27,CAMPO BELO - MG,CAMPO BELO,MG,31.108.189.794.583
1461,-21.1,-45.83,CAMPO DO MEIO - MG,CAMPO DO MEIO,MG,7.106.552.206.159
1462,-19.76,-48.57,CAMPO FLORIDO - MG,CAMPO FLORIDO,MG,31.629.719.849.283
1463,-19.69,-46.17,CAMPOS ALTOS - MG,CAMPOS ALTOS,MG,74.286.928.991.225
1464,-21.23,-45.75,CAMPOS GERAIS - MG,CAMPOS GERAIS,MG,15.309.687.254.064
1465,-21.02,-45.18,CANA VERDE - MG,CANA VERDE,MG,35.038.740.431.577
1466,-20.68,-42.62,CANAA - MG,CANAA,MG,30.704.703.820.304
1467,-18.72,-49.2,CANAPOLIS - MG,CANAPOLIS,MG,63.098.983.913.042
1468,-20.76,-45.27,CANDEIAS - MG,CANDEIAS,MG,87.204.822.196.285
1469,-18.52,-42.62,CANTAGALO - MG,CANTAGALO,MG,24.021.011.418.001
1470,-20.43,-41.86,CAPARAO - MG,CAPARAO,MG,30.582.837.993.491
1471,-20.92,-43.61,CAPELA NOVA - MG,CAPELA NOVA,MG,32.940.196.672.742
1472,-17.69,-42.51,CAPELINHA - MG,CAPELINHA,MG,18.270.049.514.291
1473,-20.61,-47.05,CAPETINGA - MG,CAPETINGA,MG,50.571.660.933.685
1474,-19.54,-44.11,CAPIM BRANCO - MG,CAPIM BRANCO,MG,45.901.439.385.709
1475,-18.68,-49.57,CAPINOPOLIS - MG,CAPINOPOLIS,MG,10.224.695.642.057
1476,-19.06,-41.85,CAPITAO ANDRADE - MG,CAPITAO ANDRADE,MG,29.411.127.415.908
1477,-16.32,-43.71,CAPITAO ENEAS - MG,CAPITAO ENEAS,MG,80.959.621.144.361
1478,-20.61,-46.05,CAPITOLIO - MG,CAPITOLIO,MG,46.530.743.672.006
1479,-20.17,-42.27,CAPUTIRA - MG,CAPUTIRA,MG,55.827.456.007.102
1480,-17.18,-41.69,CARAI - MG,CARAI,MG,12.222.743.659.969
1481,-20.87,-43.73,CARANAIBA - MG,CARANAIBA,MG,24.390.549.939.219
1482,-20.95,-43.8,CARANDAI - MG,CARANDAI,MG,13.542.981.274.586
1483,-20.73,-42.02,CARANGOLA - MG,CARANGOLA,MG,19.066.548.620.358
1484,-19.79,-42.13,CARATINGA - MG,CARATINGA,MG,44.280.410.022.204
1485,-17.52,-43.01,CARBONITA - MG,CARBONITA,MG,56.117.713.177.236
1486,-22.04,-45.69,CAREACU - MG,CAREACU,MG,33.705.248.285.246
1487,-17.7,-40.76,CARLOS CHAGAS - MG,CARLOS CHAGAS,MG,1.605.180.551.524
1488,-19.08,-43.14,CARMESIA - MG,CARMESIA,MG,13.925.028.232.611
1489,-21.46,-45.22,CARMO DA CACHOEIRA - MG,CARMO DA CACHOEIRA,MG,73.437.923.155.826
1490,-20.55,-44.87,CARMO DA MATA - MG,CARMO DA MATA,MG,66.424.982.364.097
1491,-22.12,-45.12,CARMO DE MINAS - MG,CARMO DE MINAS,MG,7.696.017.422.095
1492,-20.18,-44.77,CARMO DO CAJURU - MG,CARMO DO CAJURU,MG,97.252.400.028.411
1493,-19,-46.31,CARMO DO PARANAIBA - MG,CARMO DO PARANAIBA,MG,18.038.736.237.174
1494,-20.97,-46.11,CARMO DO RIO CLARO - MG,CARMO DO RIO CLARO,MG,12.276.265.417.588
1495,-20.54,-44.63,CARMOPOLIS DE MINAS - MG,CARMOPOLIS DE MINAS,MG,93.991.234.772.523
1496,-19.69,-50.68,CARNEIRINHO - MG,CARNEIRINHO,MG,58.681.512.060.702
1497,-21.48,-44.64,CARRANCAS - MG,CARRANCAS,MG,25.314.299.182.288
1498,-21.77,-45.84,CARVALHOPOLIS - MG,CARVALHOPOLIS,MG,17.893.749.991.833
1499,-22,-44.46,CARVALHOS - MG,CARVALHOS,MG,3.172.211.979.069
1500,-20.79,-43.93,CASA GRANDE - MG,CASA GRANDE,MG,13.766.773.787.326
1501,-18.57,-47.87,CASCALHO RICO - MG,CASCALHO RICO,MG,14.371.933.998.556
1502,-20.58,-46.92,CASSIA - MG,CASSIA,MG,11.112.242.805.134
1503,-21.38,-42.69,CATAGUASES - MG,CATAGUASES,MG,41.909.630.692.671
1504,-20.07,-43.4,CATAS ALTAS - MG,CATAS ALTAS,MG,26.845.152.136.267
1505,-20.69,-43.49,CATAS ALTAS DA NORUEGA - MG,CATAS ALTAS DA NORUEGA,MG,21.266.400.373.368
1506,-17.31,-41.51,CATUJI - MG,CATUJI,MG,37.519.159.120.674
1507,-15.35,-42.96,CATUTI - MG,CATUTI,MG,32.152.780.620.464
1508,-21.97,-44.93,CAXAMBU - MG,CAXAMBU,MG,13.239.621.509.956
1509,-19.14,-45.71,CEDRO DO ABAETE - MG,CEDRO DO ABAETE,MG,83.715.648.502.033
1510,-18.76,-41.3,CENTRAL DE MINAS - MG,CENTRAL DE MINAS,MG,37.754.473.398.017
1511,-18.58,-49.19,CENTRALINA - MG,CENTRALINA,MG,66.136.760.857.116
1512,-21.67,-43.22,CHACARA - MG,CHACARA,MG,29.373.486.327.435
1513,-20.04,-41.68,CHALE - MG,CHALE,MG,35.848.678.142.856
1514,-17.08,-42.53,CHAPADA DO NORTE - MG,CHAPADA DO NORTE,MG,94.825.903.020.161
1515,-15.3,-45.61,CHAPADA GAUCHA - MG,CHAPADA GAUCHA,MG,33.080.201.600.753
1516,-22,-43.05,CHIADOR - MG,CHIADOR,MG,20.027.183.194.345
1517,-20.9,-43.36,CIPOTANEA - MG,CIPOTANEA,MG,39.454.278.357.573
1518,-20.39,-47.26,CLARAVAL - MG,CLARAVAL,MG,23.695.115.147.629
1519,-17.08,-44.2,CLARO DOS POCOES - MG,CLARO DOS POCOES,MG,49.169.576.179.713
1520,-20.44,-44.76,CLAUDIO - MG,CLAUDIO,MG,13.184.947.371.378
1521,-20.85,-42.8,COIMBRA - MG,COIMBRA,MG,36.810.009.566.532
1522,-18.23,-42.84,COLUNA - MG,COLUNA,MG,57.660.801.614.017
1523,-19.69,-49.08,COMENDADOR GOMES - MG,COMENDADOR GOMES,MG,17.814.140.577.721
1524,-16.29,-41.79,COMERCINHO - MG,COMERCINHO,MG,67.082.245.005.483
1525,-21.09,-46.2,CONCEICAO DA APARECIDA - MG,CONCEICAO DA APARECIDA,MG,57.560.524.085.793
1526,-21.12,-44.47,CONCEICAO DA BARRA DE MINAS - MG,CONCEICAO DA BARRA DE MINAS,MG,27.730.880.119.005
1527,-19.91,-48.38,CONCEICAO DAS ALAGOAS - MG,CONCEICAO DAS ALAGOAS,MG,93.052.583.128.276
1528,-22.16,-45.45,CONCEICAO DAS PEDRAS - MG,CONCEICAO DAS PEDRAS,MG,16.238.281.948.667
1529,-19.92,-41.69,CONCEICAO DE IPANEMA - MG,CONCEICAO DE IPANEMA,MG,27.877.592.324.875
1530,-19.03,-43.42,CONCEICAO DO MATO DENTRO - MG,CONCEICAO DO MATO DENTRO,MG,12.193.664.360.329
1531,-19.75,-44.89,CONCEICAO DO PARA - MG,CONCEICAO DO PARA,MG,28.960.525.977.889
1532,-21.88,-45.08,CONCEICAO DO RIO VERDE - MG,CONCEICAO DO RIO VERDE,MG,68.297.098.104.346
1533,-22.41,-45.79,CONCEICAO DOS OUROS - MG,CONCEICAO DOS OUROS,MG,51.558.413.816.488
1534,-15.29,-44.41,CONEGO MARINHO - MG,CONEGO MARINHO,MG,38.983.164.679.696
1535,-19.63,-43.98,CONFINS - MG,CONFINS,MG,28.389.571.659.727
1536,-22.15,-46.03,CONGONHAL - MG,CONGONHAL,MG,5.231.278.744.766
1537,-20.5,-43.85,CONGONHAS - MG,CONGONHAS,MG,25.236.401.460.977
1538,-18.8,-43.68,CONGONHAS DO NORTE - MG,CONGONHAS DO NORTE,MG,32.845.175.603.341
1539,-19.93,-47.54,CONQUISTA - MG,CONQUISTA,MG,46.745.351.989.533
1540,-20.66,-43.78,CONSELHEIRO LAFAIETE - MG,CONSELHEIRO LAFAIETE,MG,61.374.829.700.852
1541,-19.17,-41.47,CONSELHEIRO PENA - MG,CONSELHEIRO PENA,MG,13.809.808.702.112
1542,-22.55,-45.92,CONSOLACAO - MG,CONSOLACAO,MG,1.154.488.026.157
1543,-19.93,-44.05,CONTAGEM - MG,CONTAGEM,MG,492350
1544,-21.18,-45.44,COQUEIRAL - MG,COQUEIRAL,MG,56.686.191.202.399
1545,-16.68,-44.36,CORACAO DE JESUS - MG,CORACAO DE JESUS,MG,16.949.905.063.559
1546,-19.12,-44.32,CORDISBURGO - MG,CORDISBURGO,MG,53.418.679.921.244
1547,-21.79,-45.7,CORDISLANDIA - MG,CORDISLANDIA,MG,19.968.693.452.496
